Depth (cm),Volume(cc),Weight of Cap and Tube (g),Wet Weight w/tube (g),Wet Weight (g),Water Weight (g),Dry Weight w/tube,Dry Weight (g),Wet Density (g/cc),Dry Density (g/cc)
1,1,6.797,7.826,1.029,0.863,6.963,0.166,1.029,0.166
3,1,6.805,7.766,0.961,0.803,6.963,0.158,0.961,0.158
5,0.6,6.901,7.54,0.639,0.538,7.002,0.101,1.065,0.168
7,0.8,6.793,7.637,0.844,0.718,6.919,0.126,1.055,0.157
9,1,6.799,7.921,1.122,0.935,6.986,0.187,1.122,0.187
11,0.8,6.783,7.747,0.964,0.801,6.946,0.163,1.205,0.204
13,1,6.859,7.9,1.041,0.882,7.018,0.159,1.041,0.159
15,0.6,6.835,7.757,0.922,0.768,6.989,0.154,1.537,0.257
17,1,6.860,8.106,1.246,1.021,7.085,0.225,1.246,0.225
19,1.2,6.806,8.292,1.486,1.23,7.062,0.256,1.238,0.213
21,1.4,6.866,8.372,1.506,1.254,7.118,0.252,1.076,0.180
23,0.8,6.781,7.686,0.905,0.755,6.931,0.15,1.131,0.188
25,0.6,6.824,7.647,0.823,0.662,6.985,0.161,1.372,0.268
27,1.2,6.811,8.126,1.315,1.067,7.059,0.248,1.096,0.207
29,1.2,6.799,8.101,1.302,1.079,7.022,0.223,1.085,0.186
31,0.8,6.806,7.879,1.073,0.868,7.011,0.205,1.341,0.256
33,0.8,6.840,7.687,0.847,0.680,7.007,0.167,1.059,0.209
35,1.2,6.886,8.179,1.293,1.021,7.158,0.272,1.078,0.227
37,0.4,6.821,7.473,0.652,0.515,6.958,0.137,1.630,0.343
39,1,6.767,7.915,1.148,0.916,6.999,0.232,1.148,0.232
41,1.2,6.847,8.143,1.296,1.059,7.084,0.237,1.080,0.197
43,1.4,6.805,8.346,1.541,1.252,7.094,0.289,1.101,0.206
45,1.2,6.862,8.147,1.285,1.045,7.102,0.24,1.071,0.200
47,1,6.866,8.061,1.195,0.979,7.082,0.216,1.195,0.216
49,1.2,6.803,8.121,1.318,1.082,7.039,0.236,1.098,0.197
51,1.4,6.871,8.407,1.536,1.278,7.129,0.258,1.097,0.184
53,1.4,6.807,8.335,1.528,1.274,7.061,0.254,1.091,0.181